"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Pair lights wifi and ble","RTP pairing wifi and ble","0","0","1","0","0"
"","Single Lamp Control","","0","0","42","0","0"
"","TCP Communication","","0","0","42","0","0"
"","Test cases for rhythm","Turn to Night light mode and then turn on without specifying any lamp mode when Rhythms playing","0","0","1","0","0"
"","Test cases for rhythm","Save scene when rhythm playing","0","0","1","0","0"
"","Test cases for rhythm","Turn off and then turn on without specifying any lamp mode when Rhythms playing","0","0","1","0","0"
"","Test cases for rhythm","Disable rhythm by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Trigger a schedule when rhythm playing","0","0","1","0","0"
"","Test cases for rhythm","Edit time for circadian rhythm","0","0","1","0","0"
"","Test cases for rhythm","Select same lamp mode for all lamp point","0","0","1","0","0"
"","Test cases for rhythm","Turn off and then turn on in cool white mode when Rhythms playing","0","0","1","0","0"
"","Test cases for rhythm","Turn to Night light mode and then turn on from in cool white mode when Rhythms playing","0","0","1","0","0"
"","Test cases for rhythm","Enable circadian rhythm by mqtt","0","0","1","0","0"
"","Test cases for rhythm","Select rhythm by mqtt","0","0","1","0","0"
"","Pair lights wifi and ble","Set app pairing mode to wifi and ble","0","0","1","0","0"
